keyphrase	tfidf	cuewords	localspan	cscore	dispersion	keyword
d	c	c	c	c	c	d
m						class
today we are passing	0.0	0.0	0.0	2.0	0.0000000000	False
passing through very exciting	0.0	0.0	0.0	2.0	0.0000000000	False
area we see computers	0.0	0.0	0.0	2.0	0.0000000000	False
computers in all walks	0.0	0.0	0.0	2.0	0.0000000000	False
activities um you find	0.0	0.0	0.0	2.0	0.0000000000	False
typical computer of today	0.0	0.0	0.0	2.0	0.0000000000	False
packs in more power	0.0	0.0	0.0	2.0	0.0000000000	False
power more storage capacity	0.0	0.0	0.0	2.0	0.0000000000	False
typical computer of nineteen	0.0	0.0	0.0	2.0	0.0000000000	False
computer of nineteen fifties	0.0	0.0	0.0	2.0	0.0000000000	False
fifties when they began	0.0	0.0	0.0	2.0	0.0000000000	False
began and they occupied	0.0	0.0	0.0	2.0	0.0000000000	False
occupied a big hall	0.0	0.0	0.0	2.0	0.0000000000	False
common form of computer	0.0	0.0	0.0	2.0	0.0000000000	False
computer you see today	0.0	0.0	0.0	2.0	0.0000000000	False
insufficient such as weather	0.0	0.0	0.0	2.0	0.0000000000	False
weather prediction nuclear simulation	0.0	0.0	0.0	2.0	0.0000000000	False
simulation for astronomical calculation	0.0	0.0	0.0	2.0	0.0000000000	False
astronomical calculation and bio	0.0	0.0	0.0	2.0	0.0000000000	False
calculation and bio informatics	0.0	0.0	0.0	2.0	0.0000000000	False
tiny and small computers	0.0	0.0	0.0	2.0	0.0000000000	False
computers which you don	0.0	0.0	0.0	2.0	0.0000000000	False
computers they are hidden	0.0	0.0	0.0	2.0	0.0000000000	False
hidden in your home	0.0	0.0	0.0	2.0	0.0000000000	False
home appliances cameras mobile	0.0	0.0	0.0	2.0	0.0000000000	False
appliances cameras mobile phones	0.0	0.0	0.0	2.0	0.0000000000	False
projector so our question	0.0	0.0	0.0	2.0	0.0000000000	False
entire variety of computers	0.0	0.0	0.0	2.0	0.0000000000	False
variety of computers entire	0.0	0.0	0.0	2.0	0.0000000000	False
entire diversity in space	0.0	0.0	0.0	2.0	0.0000000000	False
common principle which binds	0.0	0.0	0.0	2.0	0.0000000000	False
firstly i will introduce	0.0	0.0	0.0	2.0	0.0000000000	False
expect you to learn	0.0	0.0	0.0	2.0	0.0000000000	False
define the term computer	0.0	0.0	0.0	4.0	0.0000000000	False
objectives what we propose	0.0	0.0	0.0	2.0	0.0000000000	False
learn is how computers	0.0	0.0	0.0	2.0	0.0000000000	False
find this basic principle	0.0	0.0	0.0	2.0	0.0000000000	False
common across all computers	0.0	0.0	0.0	2.0	0.0000000000	False
sufficient just to learn	0.0	0.0	0.0	2.0	0.0000000000	False
learn how computers work	0.0	0.0	0.0	2.0	0.0000000000	False
performance people have developed	0.0	0.0	0.0	2.0	0.0000000000	False
notion which are misleading	0.0	0.0	0.0	2.0	0.0000000000	False
important such as power	0.0	0.0	0.0	2.0	0.0000000000	False
consumption and the chip	0.0	0.0	0.0	2.0	0.0000000000	False
area or the cost	0.0	0.0	0.0	2.0	0.0000000000	False
cost so our focus	0.0	0.0	0.0	2.0	0.0000000000	False
architecture more from point	0.0	0.0	0.0	2.0	0.0000000000	False
point of your performance	0.0	0.0	0.0	2.0	0.0000000000	False
performance after having looked	0.0	0.0	0.0	2.0	0.0000000000	False
deeper into the design	0.0	0.0	0.0	2.0	0.0000000000	False
design and construction aspects	0.0	0.0	0.0	2.0	0.0000000000	False
construction aspects of computers	0.0	0.0	0.0	2.0	0.0000000000	False
important in todays architectures	0.0	0.0	0.0	2.0	0.0000000000	False
giving them the kind	0.0	0.0	0.0	2.0	0.0000000000	False
memory structure into cahes	0.0	0.0	0.0	2.0	0.0000000000	False
cahes and virtual memory	0.0	0.0	0.0	2.0	0.0000000000	False
operation can be pipelined	0.0	0.0	0.0	2.0	0.0000000000	False
instructions could be put	0.0	0.0	0.0	2.0	0.0000000000	False
concepts would be introduced	0.0	0.0	0.0	2.0	0.0000000000	False
stage where these things	0.0	0.0	0.0	2.0	0.0000000000	False
things will be covered	0.0	0.0	0.0	2.0	0.0000000000	False
covered in more detail	0.0	0.0	0.0	2.0	0.0000000000	False
design a new processor	0.0	0.0	0.0	4.0	0.0000000000	False
processor or new computer	0.0	0.0	0.0	4.0	0.0000000000	False
computer um the answer	0.0	0.0	0.0	2.0	0.0000000000	False
opportunity what might happen	0.0	0.0	0.0	2.0	0.0000000000	False
