keyphrase	tfidf	cuewords	localspan	cscore	dispersion	keyword
d	c	c	c	c	c	d
m						class
v.srinivasa rajkumar educational technology	0.0	0.0	0.0	2.0	0.0000000000	False
rajkumar educational technology i.i.t.delhi	0.0	0.0	0.0	2.0	0.0000000000	False
educational technology i.i.t.delhi presents	0.0	0.0	0.0	2.0	0.0000000000	False
i.i.t.delhi presents a video	0.0	0.0	0.0	2.0	0.0000000000	False
video course on programming	0.0	0.0	0.0	2.0	0.0000000000	False
languages by dr.s.arun kumar	0.0	0.0	0.0	2.0	0.0000000000	False
high level programming languages	0.0	1.0	0.0	2.0	0.0000000000	True
imperative and functional languages	0.0	0.0	0.0	2.0	0.0000000000	False
respects so imperative language	0.0	0.0	0.0	2.0	0.0000000000	False
based languages where state	0.0	0.0	0.0	2.0	0.0000000000	False
languages where state updation	0.0	0.0	0.0	2.0	0.0000000000	False
languages are really value	0.0	0.0	0.0	2.0	0.0000000000	False
languages in the notion	0.0	0.0	0.0	2.0	0.0000000000	False
variables in functional languages	0.0	0.0	0.0	2.0	0.0000000000	False
mathematics whereas the notion	0.0	0.0	0.0	2.0	0.0000000000	False
notion of the variables	0.0	0.0	0.0	4.0	0.0000000000	False
physics which can change	0.0	0.0	0.0	2.0	0.0000000000	False
quantities like acceleration velocity	0.0	0.0	0.0	2.0	0.0000000000	False
state based languages means	0.0	0.0	0.0	2.0	0.0000000000	False
trimaxes though unlike physics	0.0	0.0	0.0	2.0	0.0000000000	False
case of functional languages	0.0	0.0	0.0	2.0	0.0000000000	False
functional languages the notion	0.0	0.0	0.0	2.0	0.0000000000	False
execution of a program	0.0	0.0	0.0	2.0	0.0000000000	False
languages is really concentrated	0.0	0.0	0.0	2.0	0.0000000000	False
hundreds of programming languages	0.0	0.0	0.0	4.0	0.0000000000	False
history you will find	0.0	0.0	0.0	2.0	0.0000000000	False
sixties a large portion	0.0	0.0	0.0	2.0	0.0000000000	False
features so which means	0.0	0.0	0.0	2.0	0.0000000000	False
means these these represent	0.0	0.0	0.0	2.0	0.0000000000	False
represent the basic control	0.0	0.0	0.0	2.0	0.0000000000	False
control structures the exploration	0.0	0.0	0.0	2.0	0.0000000000	False
data structures in order	0.0	0.0	0.0	2.0	0.0000000000	False
obtain clean readable programs	0.0	0.0	0.0	2.0	0.0000000000	False
efficiently implement able programs	0.0	0.0	0.0	2.0	0.0000000000	False
programs um efficient running	0.0	0.0	0.0	2.0	0.0000000000	False
fixed in the seventies	0.0	0.0	0.0	2.0	0.0000000000	False
exploration of programming languages	0.0	0.0	0.0	2.0	0.0000000000	False
languages was in terms	0.0	0.0	0.0	2.0	0.0000000000	False
pascal most important feature	0.0	0.0	0.0	2.0	0.0000000000	False
combines the module features	0.0	0.0	0.0	2.0	0.0000000000	False
module features of modula	0.0	0.0	0.0	2.0	0.0000000000	False
important feature exception handling	0.0	0.0	0.0	2.0	0.0000000000	False
feature exception handling generics	0.0	0.0	0.0	2.0	0.0000000000	False
handling generics or polymorphism	0.0	0.0	0.0	2.0	0.0000000000	False
clu is a module	0.0	0.0	0.0	2.0	0.0000000000	False
sense the basic control	0.0	0.0	0.0	2.0	0.0000000000	False
basic control structure remain	0.0	0.0	0.0	2.0	0.0000000000	False
structures in these languages	0.0	0.0	0.0	2.0	0.0000000000	False
mark denote the decendency	0.0	0.0	0.0	2.0	0.0000000000	False
structures so from simula	0.0	0.0	0.0	2.0	0.0000000000	False
small talk eighty control	0.0	0.0	0.0	2.0	0.0000000000	False
talk eighty control structures	0.0	0.0	0.0	2.0	0.0000000000	False
control structures or syntax	0.0	0.0	0.0	2.0	0.0000000000	False
simula which was extended	0.0	0.0	0.0	2.0	0.0000000000	False
features are these kinds	0.0	0.0	0.0	2.0	0.0000000000	False
nowadays biolarge their exploration	0.0	0.0	0.0	2.0	0.0000000000	False
terms of new features	0.0	0.0	0.0	2.0	0.0000000000	False
kind of new features	0.0	0.0	0.0	2.0	0.0000000000	False
current state of art	0.0	0.0	0.0	2.0	0.0000000000	False
large amount of work	0.0	0.0	0.0	2.0	0.0000000000	False
efficient trying to make	0.0	0.0	0.0	2.0	0.0000000000	False
data structures and controls	0.0	0.0	0.0	2.0	0.0000000000	False
controls and control structures	0.0	0.0	0.0	2.0	0.0000000000	False
control structures then languages	0.0	0.0	0.0	2.0	0.0000000000	False
languages like ml caml	0.0	0.0	0.0	2.0	0.0000000000	False
