keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
encouragement and support	0.000389853372717	0.0000000000	1.58496250072	False
approach and position	0.000389853372717	0.0000000000	1.58496250072	False
number of rssi values	0.0	0.0000000000	2.0	False
smart introduces	0.000519804496956	0.0000000000	2.0	False
engagement for retail	0.000389853372717	0.0000000000	1.58496250072	False
reduction factor	0.000779706745433	0.0000000000	3.0	False
processing for localization	0.000389853372717	0.0000000000	1.58496250072	False
advantage of this approach	0.0	0.0000000000	2.0	False
nearby nodes which transmits	0.0	0.0000000000	2.0	False
distance is changed	0.000389853372717	0.0000000000	1.58496250072	False
points in the training	0.0	0.0000000000	2.0	False
smart stack	0.0023391202363	0.2914072229	8.0	False
calculated as the average	0.0	0.0000000000	2.0	False
node powered	0.000259902248478	0.0000000000	1.0	False
liveliness	0.000649755621194	0.4242204496	0.0	False
security manager	0.000259902248478	0.0000000000	1.0	False
conformance	0.000649755621194	0.4242204496	0.0	False
number of users area	0.0	0.0000000000	2.0	False
re-sampling is required	0.000389853372717	0.0000000000	1.58496250072	False
made with apples	0.0	0.0000000000	1.58496250072	False
expected that the characteristics	0.0	0.0000000000	2.0	False
observer role that receives	0.0	0.0000000000	2.0	False
bluetooth smart varies	0.000389853372717	0.0000000000	1.58496250072	False
basics of bluetooth technology	0.0	0.0000000000	2.0	False
sender sees the receiver	0.0	0.0000000000	2.0	False
iswcs	0.000108039662503	0.0000000000	0.0	False
rssi to distance	0.00129647595003	0.5086956522	6.33985000288	False
literature review including scientific	0.0	0.0000000000	2.0	False
coordinates of beacon	0.000389853372717	0.0000000000	1.58496250072	False
statically	0.000108039662503	0.0000000000	0.0	False
readings for bluetooth smart	0.0	0.0000000000	2.0	False
tof approaches	0.000259902248478	0.0000000000	1.0	False
fingerprinting is similar	0.000389853372717	0.0000000000	1.58496250072	False
results from chapter	0.000389853372717	0.0000000000	1.58496250072	False
mathematical methods	0.000216079325006	0.0000000000	1.0	False
bayesian decision theory	0.000389853372717	0.0000000000	1.58496250072	False
increased performance	0.000259902248478	0.0000000000	1.0	False
filter same characteristics	0.000389853372717	0.0000000000	1.58496250072	False
four	0.0	0.4583741430	0.0	False
basics	7.33108173151e-05	0.0000000000	0.0	False
combined with sensor data	0.0	0.0000000000	2.0	False
meter as described	0.0	0.0000000000	1.58496250072	False
