keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
efficiency of localization attempts	0.0	0.0000000000	2.0	False
localizer	0.000536328463066	0.0000000000	0.0	False
kernel driver	0.00176281040488	0.0000000000	1.0	False
dynamic	0.00057375517108	0.0000000000	0.0	False
signal propagates by unpredictable	0.0	0.0000000000	2.0	False
four	0.0	0.0000000000	0.0	False
implemented as a software-only	0.0	0.0000000000	2.0	False
localization in this paradigm	0.0	0.0000000000	2.0	False
consists	0.000224918791904	0.0000000000	0.0	False
cityu.edu.hk	0.0	0.0000000000	0.0	False
two-step procedure	0.00176281040488	0.0000000000	1.0	False
work has similar design	0.0	0.0000000000	2.0	False
believed that measured	0.00264421560732	0.0000000000	1.58496250072	False
calculate	0.000349501285664	0.0000000000	0.0	False
aug	0.000734553426833	0.0000000000	0.0	False
wireless ethernet	0.0139576320245	0.2786377709	20.0	False
facilitate the mss filter	0.0	0.0000000000	2.0	False
presents	0.000166953120497	0.0000000000	0.0	False
design is conducted	0.00264421560732	0.0000000000	1.58496250072	False
applying a bayesian localization	0.0	0.0000000000	2.0	False
endpoint vibration	0.00176281040488	0.0000000000	1.0	False
sloan fellowship	0.00146557748011	0.0000000000	1.0	False
organized into two main	0.0	0.0000000000	2.0	False
estimation of the endpoint	0.0	0.0000000000	2.0	False
results suggest	0.00129170736514	0.0000000000	1.0	False
remains unavailable	0.00176281040488	0.0000000000	1.0	False
figs	0.000536328463066	0.0000000000	0.0	False
affect	0.000101476780542	0.0000000000	0.0	False
shown on the right	0.0	0.0000000000	2.0	False
generates results applicable	0.00264421560732	0.0000000000	1.58496250072	False
number of base stations	0.0	0.0000000000	4.0	False
left graph	0.00176281040488	0.0000000000	1.0	False
tend to remain	0.00264421560732	0.0000000000	1.58496250072	False
solution	7.49729306346e-05	0.0000000000	0.0	False
human motion	0.00107265692613	0.0000000000	1.0	False
engineering management	0.00352562080975	0.0000000000	2.0	False
simple yet efficient	0.00264421560732	0.0000000000	1.58496250072	False
vector	0.000113069237933	0.0000000000	0.0	False
existing wireless network interfaces	0.0	0.0000000000	2.0	False
standard deviation	0.000500186485852	0.0000000000	1.0	False
markov	0.00116313600204	0.4712041885	0.0	False
straight	0.000273940934845	0.0000000000	0.0	False
low-cost robot	0.00176281040488	0.0000000000	1.0	False
phones	0.000250093242926	0.0000000000	0.0	False
