keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
limited	0.000198196957643	0.5500000000	0.0	False
making basic navigation accessible	0.0	0.0000000000	2.0	False
implement graph search	0.00216513721779	0.0000000000	1.58496250072	False
step navigation that characterizes	0.0	0.0000000000	2.0	False
benefits stated	0.00144342481186	0.0000000000	1.0	False
desirable	0.000391552524796	0.0000000000	0.0	False
longitude latitude coordinates	0.00216513721779	0.0000000000	1.58496250072	False
android library	0.00120004448161	0.0000000000	1.0	False
takes on both roles	0.0	0.0000000000	2.0	False
add to the network	0.0	0.0000000000	2.0	False
discoverable	0.00158651417249	0.3013698630	0.0	False
transmitters are low	0.00216513721779	0.0000000000	1.58496250072	False
splendid video demonstrating	0.00216513721779	0.0000000000	1.58496250072	False
integrity	0.000478332075677	0.0000000000	0.0	False
waypoint navigation	0.00120004448161	0.0000000000	1.0	False
functional indoor navigation	0.00216513721779	0.0000000000	1.58496250072	False
loss service defines behavior	0.0	0.0000000000	2.0	False
calculate	0.000572357442534	0.4313725490	0.0	False
indoor navigation apis	0.00433027443558	0.0000000000	3.16992500144	False
grassroots	0.000721712405929	0.0000000000	0.0	False
created	0.000195776262398	0.0000000000	0.0	False
list	0.000187210573464	0.0000000000	0.0	False
signal strength and calulating	0.0	0.0000000000	2.0	False
strength due	0.000956664151353	0.0000000000	1.0	False
store has a proximity	0.0	0.0000000000	2.0	False
option to start scans	0.0	0.0000000000	2.0	False
client de figure	0.00216513721779	0.0000000000	1.58496250072	False
device to be paired	0.0	0.0000000000	2.0	False
includes navigation capabilities	0.00216513721779	0.0000000000	1.58496250072	False
navigating	0.000439156592651	0.0000000000	0.0	False
shipped with ble	0.00216513721779	0.0000000000	1.58496250072	False
pages	0.000234951745424	0.0000000000	0.0	False
full support	0.00144342481186	0.0000000000	1.0	False
sdk to integrate	0.00216513721779	0.0000000000	1.58496250072	False
controlling these two activities	0.0	0.0000000000	2.0	False
global variable	0.00144342481186	0.0000000000	1.0	False
confirmations form	0.00144342481186	0.0000000000	1.0	False
updates	0.000738846732657	0.0000000000	0.0	False
defined enough to develop	0.0	0.0000000000	2.0	False
anchors to detect	0.00216513721779	0.0000000000	1.58496250072	False
discoverable devices	0.00120004448161	0.0000000000	1.0	False
current consumption	0.00120004448161	0.0000000000	1.0	False
