keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
limited	0.000155300330714	0.0000000000	0.0	False
successive nights	0.00150802416147	0.0000000000	1.0	False
worldwide rfid	0.00150802416147	0.0000000000	1.0	False
limiting factor on rfid	0.0	0.0000000000	2.0	False
magnetic	0.000995023168294	0.0000000000	0.0	False
choosing a testing location	0.0	0.0000000000	2.0	False
radio energy	0.0	0.0000000000	1.0	False
out how it turned	0.0	0.0000000000	2.0	False
assembled	0.00119128597677	0.0000000000	0.0	False
list quickly	0.00150802416147	0.0000000000	1.0	False
inevitable due	0.00125375153471	0.0000000000	1.0	False
increase	0.000958338122241	0.3134328358	0.0	False
calculate	0.000149493213164	0.0000000000	0.0	False
electricity	0.000754012080736	0.0000000000	0.0	False
tags identify	0.00150802416147	0.0000000000	1.0	False
yield the maximum	0.00188062730206	0.0000000000	1.58496250072	False
tween	0.000754012080736	0.0000000000	0.0	False
identity document identifies	0.00226203624221	0.0000000000	1.58496250072	False
instant-messaging device aimed	0.00226203624221	0.0000000000	1.58496250072	False
tag distance	0.00150802416147	0.0000000000	1.0	False
put a specified amount	0.0	0.0000000000	2.0	False
crosstalk	0.000754012080736	0.0000000000	0.0	False
pass the exams	0.00226203624221	0.0000000000	1.58496250072	False
sheer level of gen2	0.0	0.0000000000	2.0	False
height of the antennas	0.0	0.0000000000	2.0	False
7dbi	0.000754012080736	0.0000000000	0.0	False
combination of power	0.00188062730206	0.0000000000	1.58496250072	False
direction the signal	0.00188062730206	0.0000000000	1.58496250072	False
handling	0.000234347124013	0.0000000000	0.0	False
eirp	0.00199895781589	0.3559322034	0.0	False
satisfy a major	0.00226203624221	0.0000000000	1.58496250072	False
affect	8.68099237797e-05	0.0000000000	0.0	False
tests i successfully read	0.0	0.0000000000	2.0	False
bringing	0.000626875767354	0.0000000000	0.0	False
vast	0.000458810702814	0.0000000000	0.0	False
exhibits read range hysteresis	0.0	0.0000000000	2.0	False
allowed us to easily	0.0	0.0000000000	2.0	False
international corporation	0.00150802416147	0.0000000000	1.0	False
reader beforehand to find	0.0	0.0000000000	2.0	False
solution	6.41367843873e-05	0.0000000000	0.0	False
viable	0.000628385396689	0.0000000000	0.0	False
personal privacy	0.00376125460412	0.0000000000	3.0	False
500+ feet	0.00150802416147	0.0000000000	1.0	False
