keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
deployment and data processing	0.0	0.0000000000	2.0	False
single system	0.00137234981278	0.0000000000	1.0	False
node colors	0.00100559558521	0.0000000000	1.0	False
propagation for self-calibration	0.00171143048754	0.0000000000	1.58496250072	False
migrated	0.00205852471917	0.0000000000	0.0	False
interference	0.000107684520343	0.0000000000	0.0	False
copy	0.00120733685273	0.5454545455	0.0	False
enterprise supply	0.00100559558521	0.0000000000	1.0	False
temperature readings	0.00228190731672	0.0000000000	2.0	False
temporal management	0.00100559558521	0.0000000000	1.0	False
supports rfid-based pervasive computing	0.0	0.0000000000	2.0	False
query processing makes	0.00205852471917	0.0000000000	1.58496250072	False
event into the match	0.0	0.0000000000	2.0	False
most-likely container	0.00137234981278	0.0000000000	1.0	False
inference with query	0.00205852471917	0.0000000000	1.58496250072	False
streams emulating	0.00114095365836	0.0000000000	1.0	False
ieee signal processing	0.00171143048754	0.0000000000	1.58496250072	False
queries run	0.00137234981278	0.0000000000	1.0	False
larger numbers	0.00114095365836	0.0000000000	1.0	False
inference module includes	0.00205852471917	0.0000000000	1.58496250072	False
migration local	0.00114095365836	0.0000000000	1.0	False
research challenges	0.00090955750394	0.0000000000	1.0	False
reduced communication	0.00137234981278	0.0000000000	1.0	False
missed ; it moved	0.0	0.0000000000	2.0	False
noisy data by exploiting	0.0	0.0000000000	2.0	False
object locations via containment	0.0	0.0000000000	2.0	False
permission to make	0.00101724202428	0.0000000000	1.58496250072	False
caozhao @ cs.umass.edu yanlei	0.0	0.0000000000	2.0	False
umass	0.000570476829179	0.0000000000	0.0	False
pallet that has deviated	0.0	0.0000000000	2.0	False
layer for each packaging	0.0	0.0000000000	2.0	False
state and query	0.00205852471917	0.0000000000	1.58496250072	False
due to ambiguous containment	0.0	0.0000000000	2.0	False
updated	0.000284686137924	0.0000000000	0.0	False
r1.container = r2.container	0.00205852471917	0.0000000000	1.58496250072	False
radio energy to send	0.0	0.0000000000	2.0	False
distance from the colored	0.0	0.0000000000	2.0	False
distributed approaches	0.00228190731672	0.0000000000	2.0	False
consistent observations	0.00114095365836	0.0000000000	1.0	False
epoch	0.00125259687118	0.0000000000	0.0	False
emulating a large warehouse	0.0	0.0000000000	2.0	False
stolen	0.000417532290392	0.0000000000	0.0	False
memory prior	0.00137234981278	0.0000000000	1.0	False
