keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
depending on deployed	0.00165872516376	0.0000000000	1.58496250072	False
limited	0.000189799911018	0.3302961276	0.0	False
covered by a camera	0.0	0.0000000000	2.0	False
infrastrdevice ucture rssi toa	0.0	0.0000000000	2.0	False
systems for mobile	0.00121543842993	0.0000000000	1.58496250072	False
limited by the accumulated	0.0	0.0000000000	2.0	False
magnetic	0.000486426031252	0.0000000000	0.0	False
exciting research	0.00110581677584	0.0000000000	1.0	False
radio and infrared signals	0.0	0.0000000000	2.0	False
important characteristics of indoor	0.0	0.0000000000	2.0	False
four	0.0	0.0000000000	0.0	False
high degree	0.000810292286619	0.0000000000	1.0	False
data sets	0.000672881224409	0.0000000000	1.0	False
financed	0.000552908387918	0.0000000000	0.0	False
positions in locationsharing	0.00165872516376	0.0000000000	1.58496250072	False
signal strength differences	0.00165872516376	0.0000000000	1.58496250072	False
sensitive positions in locationsharing	0.0	0.0000000000	2.0	False
indoor installations	0.00110581677584	0.0000000000	1.0	False
radio map database	0.00165872516376	0.0000000000	1.58496250072	False
power outages	0.00110581677584	0.0000000000	1.0	False
based on signal	0.00131214570092	0.0000000000	3.16992500144	False
optical	0.000377356735191	0.0000000000	0.0	False
analysis of animal behavior	0.0	0.0000000000	2.0	False
fixed ir sensors deployed	0.0	0.0000000000	2.0	False
localization systems that selects	0.0	0.0000000000	2.0	False
big mobility	0.00110581677584	0.0000000000	1.0	False
calculate	0.000219243308183	0.0000000000	0.0	False
active bat	0.000486426031252	0.0000000000	1.0	False
presents representative examples	0.00165872516376	0.0000000000	1.58496250072	False
rfid tags to improve	0.0	0.0000000000	2.0	False
man and cybernetics	0.000772151696101	0.0000000000	1.58496250072	False
performed whenever a blind	0.0	0.0000000000	2.0	False
localization technologies and systems	0.0	0.3670886076	16.0	False
presents	0.00052365121318	0.3302961276	0.0	False
fine-grained	0.0	0.0000000000	0.0	False
objects recognized	0.00110581677584	0.0000000000	1.0	False
ganti	0.000552908387918	0.0000000000	0.0	False
level depending on deployed	0.0	0.0000000000	2.0	False
tracked at discrete levels	0.0	0.0000000000	2.0	False
closed structures	0.00110581677584	0.0000000000	1.0	False
positioning methods based	0.00121543842993	0.0000000000	1.58496250072	False
indoor map information	0.00165872516376	0.0000000000	1.58496250072	False
